Date,Service,Cost (USD)
2025-01-17,AWS Backup,13.1152145231
2025-01-17,AWS CloudTrail,7.27455575
2025-01-17,AWS Cost Explorer,2.2314726709
2025-01-17,AWS Global Accelerator,1.9927347419
2025-01-17,AWS Glue,0.0268012976
2025-01-17,AWS Key Management Service,0.7199782536
2025-01-17,AWS Lambda,0.9238830916
2025-01-17,AWS Secrets Manager,1.0017270024
2025-01-17,AWS Step Functions,7.5289667001
2025-01-17,AWS Systems Manager,70.744884
2025-01-17,AWS WAF,0.3212903184
2025-01-17,Amazon API Gateway,44.1194447849
2025-01-17,Amazon Athena,0.36493855
2025-01-17,Amazon Bedrock,0.0000039508
2025-01-17,Amazon CloudFront,0.0131923722
2025-01-17,Amazon DevOps Guru,0
2025-01-17,Amazon DynamoDB,0.2430651782
2025-01-17,Amazon EC2 Container Registry (ECR),7.0353172919
2025-01-17,EC2 - Other,4890.0482741941
2025-01-17,Amazon Elastic Compute Cloud - Compute,2912.1486304273
2025-01-17,Amazon Elastic Container Registry Public,0
2025-01-17,Amazon Elastic Container Service,1.1971613696
2025-01-17,Amazon Elastic Container Service for Kubernetes,75.0407463324
2025-01-17,Amazon Elastic File System,124.1788810591
2025-01-17,Amazon Elastic Load Balancing,297.9994271451
2025-01-17,Amazon Kinesis Firehose,0.0000135187
2025-01-17,Amazon Polly,0.62559424
2025-01-17,Amazon QuickSight,2.1498761808
2025-01-17,Amazon Relational Database Service,21.6845543871
2025-01-17,Amazon Route 53,0.02408162
2025-01-17,Amazon SageMaker,0.996
2025-01-17,Amazon Simple Email Service,0.1948787355
2025-01-17,Amazon Simple Notification Service,0.0000002119
2025-01-17,Amazon Simple Queue Service,0.19755494
2025-01-17,Amazon Simple Storage Service,481.9340516886
2025-01-17,Amazon Virtual Private Cloud,110.5360356813
2025-01-17,AmazonCloudWatch,8.6932990886
2025-01-17,CloudWatch Events,0.1977255794
2025-01-17,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-17,Savings Plans for AWS Compute usage,996
2025-01-17,Tax,0
2025-01-18,AWS Backup,13.4463540841
2025-01-18,AWS CloudTrail,7.27256624
2025-01-18,AWS Cost Explorer,2.2148046645
2025-01-18,AWS Global Accelerator,1.9924006589
2025-01-18,AWS Glue,0.0155414512
2025-01-18,AWS Key Management Service,0.7130211936
2025-01-18,AWS Lambda,0.8629096262
2025-01-18,AWS Secrets Manager,0.9974649524
2025-01-18,AWS Step Functions,7.5391914078
2025-01-18,AWS Systems Manager,70.7506525
2025-01-18,AWS WAF,0.3212903184
2025-01-18,Amazon API Gateway,44.320496554
2025-01-18,Amazon Athena,0.36620015
2025-01-18,Amazon CloudFront,0.0129746867
2025-01-18,Amazon DevOps Guru,0
2025-01-18,Amazon DynamoDB,0.2386218466
2025-01-18,Amazon EC2 Container Registry (ECR),6.8704287312
2025-01-18,EC2 - Other,4778.6996498138
2025-01-18,Amazon Elastic Compute Cloud - Compute,2936.0767285655
2025-01-18,Amazon Elastic Container Registry Public,0
2025-01-18,Amazon Elastic Container Service,0.0462798675
2025-01-18,Amazon Elastic Container Service for Kubernetes,75.017714592
2025-01-18,Amazon Elastic File System,125.9977289101
2025-01-18,Amazon Elastic Load Balancing,277.55768121
