Date,Service,Cost (USD)
2025-01-21,AWS Backup,14.6229167661
2025-01-21,AWS CloudFormation,0
2025-01-21,AWS CloudTrail,6.66293622
2025-01-21,AWS Cost Explorer,2.2825091032
2025-01-21,AWS Global Accelerator,1.9924051004
2025-01-21,AWS Glue,0.0258276744
2025-01-21,AWS Key Management Service,0.7215096036
2025-01-21,AWS Lambda,0.870920044
2025-01-21,AWS Secrets Manager,0.9994962658
2025-01-21,AWS Step Functions,6.9748082618
2025-01-21,AWS Systems Manager,70.744884
2025-01-21,AWS WAF,0.3212903184
2025-01-21,Amazon API Gateway,42.8722033266
2025-01-21,Amazon Athena,0.369516
2025-01-21,Amazon Bedrock,0.01890242
2025-01-21,Amazon CloudFront,0.0134940398
2025-01-21,Amazon DevOps Guru,0
2025-01-21,Amazon DynamoDB,0.2354795468
2025-01-21,Amazon EC2 Container Registry (ECR),7.0564863659
2025-01-21,EC2 - Other,4980.0798954212
2025-01-21,Amazon Elastic Compute Cloud - Compute,2516.0490055621
2025-01-21,Amazon Elastic Container Registry Public,0
2025-01-21,Amazon Elastic Container Service,2.0867034824
2025-01-21,Amazon Elastic Container Service for Kubernetes,75.0561115754
2025-01-21,Amazon Elastic File System,133.0786854492
2025-01-21,Amazon Elastic Load Balancing,300.0828095692
2025-01-21,Amazon Location Service,0.0000083
2025-01-21,Amazon Polly,0.80228464
2025-01-21,Amazon QuickSight,2.1498761808
2025-01-21,Amazon Relational Database Service,21.7247686426
2025-01-21,Amazon Route 53,0.022082316
2025-01-21,Amazon SageMaker,0.996
2025-01-21,Amazon Simple Email Service,0.0310942486
2025-01-21,Amazon Simple Notification Service,0.0000039574
2025-01-21,Amazon Simple Queue Service,0.1973406976
2025-01-21,Amazon Simple Storage Service,486.3278757656
2025-01-21,Amazon Virtual Private Cloud,110.3693280187
2025-01-21,AmazonCloudWatch,309.337344646
2025-01-21,CloudWatch Events,0.1852329346
2025-01-21,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-21,Savings Plans for AWS Compute usage,996
2025-01-21,Tax,0
2025-01-22,AWS Backup,15.0039088338
2025-01-22,AWS CloudTrail,7.0925243
2025-01-22,AWS Cost Explorer,2.4390508516
2025-01-22,AWS Global Accelerator,1.9925536387
2025-01-22,AWS Glue,0.0170223372
2025-01-22,AWS Key Management Service,0.7149133794
2025-01-22,AWS Lambda,0.9039884874
2025-01-22,AWS Secrets Manager,0.9988303024
2025-01-22,AWS Step Functions,7.5361721849
2025-01-22,AWS Systems Manager,70.7968005
2025-01-22,AWS WAF,0.3212903184
2025-01-22,Amazon API Gateway,42.918516512
2025-01-22,Amazon Athena,0.3701219
2025-01-22,Amazon Bedrock,0.114901303
2025-01-22,Amazon Chime Voice Connector a service sold by AMCS LLC,0.0122016443
2025-01-22,Amazon CloudFront,0.013262528
2025-01-22,Amazon DevOps Guru,0
2025-01-22,Amazon DynamoDB,0.2417407917
2025-01-22,Amazon EC2 Container Registry (ECR),7.1759755755
2025-01-22,EC2 - Other,4963.2787742929
2025-01-22,Amazon Elastic Compute Cloud - Compute,2542.3062881734
2025-01-22,Amazon Elastic Container Registry Public,0
2025-01-22,Amazon Elastic Container Service,1.3693415643
2025-01-22,Amazon Elastic Container Service for Kubernetes,75.0585292078
2025-01-22,Amazon Elastic File System,135.8621707804
2025-01-22,Amazon Elastic Load Balancing,303.5604650827
2025-01-22,Amazon Polly,0.88775472
2025-01-22,Amazon QuickSight,2.1498761808
2025-01-22,Amazon Relational Database Service,21.7296498294
2025-01-22,Amazon Route 53,0.022020232
2025-01-22,Amazon SageMaker,0.996
2025-01-22,Amazon Simple Email Service,0.0156305566
2025-01-22,Amazon Simple Notification Service,0.0000012427
2025-01-22,Amazon Simple Queue Service,0.196269021
2025-01-22,Amazon Simple Storage Service,515.9407551128
2025-01-22,Amazon Virtual Private Cloud,109.2904740283
2025-01-22,AmazonCloudWatch,298.6334112538
2025-01-22,CloudWatch Events,0.2002216891
2025-01-22,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-22,Savings Plans for AWS Compute usage,996
2025-01-23,AWS Backup,15.4305848047
2025-01-23,AWS CloudTrail,7.04378089
2025-01-23,AWS Cost Explorer,2.2690572129
2025-01-23,AWS Global Accelerator,1.992545926
2025-01-23,AWS Glue,0.0183005372
2025-01-23,AWS Key Management Service,0.7192088436
2025-01-23,AWS Lambda,0.8944085613
2025-01-23,AWS Secrets Manager,1.0017062524
2025-01-23,AWS Step Functions,7.5206996452
2025-01-23,AWS Systems Manager,70.8775595
2025-01-23,AWS WAF,0.3212903184
2025-01-23,Amazon API Gateway,42.9521069014
2025-01-23,Amazon Athena,0.37116355
2025-01-23,Amazon Bedrock,0.1004504678
2025-01-23,Amazon Chime Voice Connector a service sold by AMCS LLC,0.0286134736
2025-01-23,Amazon CloudFront,0.0133194272
2025-01-23,Amazon DevOps Guru,0
2025-01-23,Amazon DynamoDB,0.2407731218
2025-01-23,Amazon EC2 Container Registry (ECR),7.121994925
2025-01-23,EC2 - Other,5073.5893034825
2025-01-23,Amazon Elastic Compute Cloud - Compute,2578.2956079221
2025-01-23,Amazon Elastic Container Registry Public,0
2025-01-23,Amazon Elastic Container Service,1.2948285062
2025-01-23,Amazon Elastic Container Service for Kubernetes,75.015331037
2025-01-23,Amazon Elastic File System,138.2928504861
2025-01-23,Amazon Elastic Load Balancing,303.7530743861
2025-01-23,Amazon Location Service,0.000041085
2025-01-23,Amazon Polly,0.8726288
2025-01-23,Amazon QuickSight,2.1498761808
2025-01-23,Amazon Relational Database Service,21.7319025839
2025-01-23,Amazon Route 53,0.022825996
2025-01-23,Amazon SageMaker,0.996
2025-01-23,Amazon Simple Email Service,0.0062357988
2025-01-23,Amazon Simple Notification Service,0.0000002045
2025-01-23,Amazon Simple Queue Service,0.1927988408
2025-01-23,Amazon Simple Storage Service,556.810389629
2025-01-23,Amazon Virtual Private Cloud,108.522533631
2025-01-23,AmazonCloudWatch,311.4173628236
2025-01-23,CloudWatch Events,0.2002635147
2025-01-23,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-23,Savings Plans for AWS Compute usage,996
2025-01-23,Tax,0
2025-01-24,AWS Backup,15.8712939664
2025-01-24,AWS CloudTrail,7.06208488
2025-01-24,AWS Cost Explorer,2.3879129452
2025-01-24,AWS Global Accelerator,1.9925586836
2025-01-24,AWS Glue,0.0165556116
2025-01-24,AWS Key Management Service,0.7189598436
2025-01-24,AWS Lambda,0.9143098505
2025-01-24,AWS Secrets Manager,0.9999923024
2025-01-24,AWS Step Functions,7.5167625172
2025-01-24,AWS Systems Manager,70.571829
2025-01-24,AWS WAF,0.3212903184
2025-01-24,Amazon API Gateway,43.0612067944
2025-01-24,Amazon Athena,0.3719645
2025-01-24,Amazon Bedrock,0.149938782
2025-01-24,Amazon Chime Voice Connector a service sold by AMCS LLC,0.0267741936
2025-01-24,Amazon CloudFront,0.0134259801
2025-01-24,Amazon Connect,0
2025-01-24,Amazon DevOps Guru,0
2025-01-24,Amazon DynamoDB,0.2425286242
2025-01-24,Amazon EC2 Container Registry (ECR),7.1515784298
2025-01-24,EC2 - Other,5089.5719502991
2025-01-24,Amazon Elastic Compute Cloud - Compute,2462.4952695204
2025-01-24,Amazon Elastic Container Registry Public,0
2025-01-24,Amazon Elastic Container Service,0.8801602482
2025-01-24,Amazon Elastic Container Service for Kubernetes,75.0170496727
2025-01-24,Amazon Elastic File System,141.1517879775
2025-01-24,Amazon Elastic Load Balancing,298.1153850337
2025-01-24,Amazon Location Service,0.0000913
2025-01-24,Amazon Polly,0.86063696
2025-01-24,Amazon QuickSight,2.1498761808
2025-01-24,Amazon Relational Database Service,21.7332674184
2025-01-24,Amazon Route 53,0.023664628
2025-01-24,Amazon SageMaker,0.9931413414
2025-01-24,Amazon Simple Email Service,0.0039906244
2025-01-24,Amazon Simple Notification Service,0.0000002045
2025-01-24,Amazon Simple Queue Service,0.1900954312
2025-01-24,Amazon Simple Storage Service,523.7276293362
2025-01-24,Amazon Virtual Private Cloud,108.3045006772
2025-01-24,AmazonCloudWatch,314.1250054654
2025-01-24,CloudWatch Events,0.1999483222
2025-01-24,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-24,Savings Plans for AWS Compute usage,996
2025-01-24,Tax,0
2025-01-25,AWS Backup,16.195276964
2025-01-25,AWS CloudTrail,7.01471761
2025-01-25,AWS Cost Explorer,2.2125170774
2025-01-25,AWS Global Accelerator,1.9925925962
2025-01-25,AWS Glue,0.0202276976
2025-01-25,AWS Key Management Service,0.7107826836
2025-01-25,AWS Lambda,0.8381714313
2025-01-25,AWS Secrets Manager,0.9974400524
2025-01-25,AWS Step Functions,7.4870260019
2025-01-25,AWS Systems Manager,69.025871
2025-01-25,AWS WAF,0.3212903184
2025-01-25,Amazon API Gateway,43.4962326549
2025-01-25,Amazon Athena,0.37310575
2025-01-25,Amazon Chime Voice Connector a service sold by AMCS LLC,0.0267741936
2025-01-25,Amazon CloudFront,0.0131222746
2025-01-25,Amazon DevOps Guru,0
2025-01-25,Amazon DynamoDB,0.2357540982
2025-01-25,Amazon EC2 Container Registry (ECR),7.0820982144
2025-01-25,EC2 - Other,4839.0352418696
2025-01-25,Amazon Elastic Compute Cloud - Compute,2479.7177651314
2025-01-25,Amazon Elastic Container Registry Public,0
2025-01-25,Amazon Elastic Container Service for Kubernetes,75.0117544928
2025-01-25,Amazon Elastic File System,143.3739690825
2025-01-25,Amazon Elastic Load Balancing,274.0937493729
2025-01-25,Amazon Location Service,0.000074285
2025-01-25,Amazon Polly,0.83742352
2025-01-25,Amazon QuickSight,2.1498761808
2025-01-25,Amazon Relational Database Service,21.7343110343
2025-01-25,Amazon Route 53,0.01935726
2025-01-25,Amazon SageMaker,0.996
2025-01-25,Amazon Simple Email Service,0.0035749984
2025-01-25,Amazon Simple Notification Service,0.0000002045
2025-01-25,Amazon Simple Queue Service,0.1776892552
2025-01-25,Amazon Simple Storage Service,420.4626217065
2025-01-25,Amazon Virtual Private Cloud,108.1485111434
2025-01-25,AmazonCloudWatch,289.9828202413
2025-01-25,CloudWatch Events,0.1981245566
2025-01-25,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-25,Savings Plans for AWS Compute usage,996
2025-01-26,AWS Backup,16.5321863011
2025-01-26,AWS CloudTrail,6.97659488
2025-01-26,AWS Cost Explorer,2.2007267935
2025-01-26,AWS Global Accelerator,1.9926302925
2025-01-26,AWS Glue,0.0174890628
2025-01-26,AWS Key Management Service,0.7105884636
2025-01-26,AWS Lambda,0.8356584824
2025-01-26,AWS Secrets Manager,0.9974276024
2025-01-26,AWS Step Functions,7.4480768415
2025-01-26,AWS Systems Manager,68.4201785
2025-01-26,AWS WAF,0.3212903184
2025-01-26,Amazon API Gateway,43.4487720931
2025-01-26,Amazon Athena,0.3738486
2025-01-26,Amazon Chime Voice Connector a service sold by AMCS LLC,0.0267741936
2025-01-26,Amazon CloudFront,0.0126185414
2025-01-26,Amazon DevOps Guru,0
2025-01-26,Amazon DynamoDB,0.2343463235
2025-01-26,Amazon EC2 Container Registry (ECR),7.0820982144
2025-01-26,EC2 - Other,4683.0044035543
2025-01-26,Amazon Elastic Compute Cloud - Compute,2411.5319401411
2025-01-26,Amazon Elastic Container Registry Public,0
2025-01-26,Amazon Elastic Container Service for Kubernetes,75.0075298706
2025-01-26,Amazon Elastic File System,145.0789770982
2025-01-26,Amazon Elastic Load Balancing,263.9167711279
2025-01-26,Amazon Location Service,0.0000083
2025-01-26,Amazon Polly,0.84663984
2025-01-26,Amazon QuickSight,2.1498761808
2025-01-26,Amazon Relational Database Service,21.735769084
2025-01-26,Amazon Route 53,0.01902858
2025-01-26,Amazon SageMaker,0.996
2025-01-26,Amazon Simple Email Service,0.0016627723
2025-01-26,Amazon Simple Notification Service,0.0000002045
2025-01-26,Amazon Simple Queue Service,0.1763721448
2025-01-26,Amazon Simple Storage Service,425.2954374406
2025-01-26,Amazon Virtual Private Cloud,108.0938397815
2025-01-26,AmazonCloudWatch,262.6840323755
2025-01-26,CloudWatch Events,0.1970021629
2025-01-26,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-26,Savings Plans for AWS Compute usage,996
2025-01-27,AWS CloudTrail,6.43293741
