Date,Account,Service,Cost (USD)
2025-01-21,154080667894,AWS Backup,0.0043705109
2025-01-21,154080667894,AWS CloudTrail,0
2025-01-21,154080667894,AWS Cost Explorer,0.0498
2025-01-21,154080667894,AWS Key Management Service,0.0550125072
2025-01-21,154080667894,AWS Secrets Manager,0.0214193544
2025-01-21,154080667894,Amazon DynamoDB,0
2025-01-21,154080667894,EC2 - Other,574.3304407888
2025-01-21,154080667894,Amazon Elastic Compute Cloud - Compute,4.3613453584
2025-01-21,154080667894,Amazon Elastic Container Service for Kubernetes,1.992
2025-01-21,154080667894,Amazon Elastic File System,2.4557150362
2025-01-21,154080667894,Amazon Elastic Load Balancing,23.2411007185
2025-01-21,154080667894,Amazon Simple Storage Service,92.677996102
2025-01-21,154080667894,Amazon Virtual Private Cloud,8.3674966924
2025-01-21,154080667894,AmazonCloudWatch,0.0803225784
2025-01-21,211125702613,AWS Backup,0.052477288
2025-01-21,211125702613,AWS Key Management Service,0.1627965216
2025-01-21,211125702613,AWS Secrets Manager,0.0428387112
2025-01-21,211125702613,Amazon DynamoDB,0
2025-01-21,211125702613,EC2 - Other,122.1754372987
2025-01-21,211125702613,Amazon Elastic Compute Cloud - Compute,265.6953879574
2025-01-21,211125702613,Amazon Elastic Container Service for Kubernetes,7.968
2025-01-21,211125702613,Amazon Elastic File System,1.404614773
2025-01-21,211125702613,Amazon Elastic Load Balancing,12.4516118676
2025-01-21,211125702613,Amazon Simple Storage Service,0.4564154559
2025-01-21,211125702613,Amazon Virtual Private Cloud,5.6772
2025-01-21,211125702613,AmazonCloudWatch,0.0000532317
2025-01-21,226032384342,AWS Backup,0.0891385752
2025-01-21,226032384342,AWS CloudTrail,0
2025-01-21,226032384342,AWS Key Management Service,0.0535483872
2025-01-21,226032384342,AWS Lambda,0.0000569969
2025-01-21,226032384342,AWS Secrets Manager,0.0963870984
2025-01-21,226032384342,Amazon DynamoDB,0.0000000945
2025-01-21,226032384342,Amazon EC2 Container Registry (ECR),0.0166694875
2025-01-21,226032384342,EC2 - Other,3.1697951832
2025-01-21,226032384342,Amazon Elastic Compute Cloud - Compute,0.0427169547
2025-01-21,226032384342,Amazon Elastic Container Registry Public,0
2025-01-21,226032384342,Amazon Elastic Container Service for Kubernetes,3.984
2025-01-21,226032384342,Amazon Elastic File System,0.0382884576
2025-01-21,226032384342,Amazon Elastic Load Balancing,1.5898130814
2025-01-21,226032384342,Amazon Relational Database Service,0.8687079928
2025-01-21,226032384342,Amazon Simple Storage Service,0.1014564283
2025-01-21,226032384342,Amazon Virtual Private Cloud,0.8964
2025-01-21,226032384342,AmazonCloudWatch,0.6385424315
2025-01-21,230864768389,AWS Backup,0.0021394572
2025-01-21,230864768389,AWS CloudTrail,0
2025-01-21,230864768389,AWS Cost Explorer,0.0498
2025-01-21,230864768389,AWS Key Management Service,0.0550125072
2025-01-21,230864768389,AWS Secrets Manager,0.0214193544
2025-01-21,230864768389,Amazon DynamoDB,0
2025-01-21,230864768389,EC2 - Other,716.9472927475
2025-01-21,230864768389,Amazon Elastic Compute Cloud - Compute,676.1358385998
2025-01-21,230864768389,Amazon Elastic Container Service for Kubernetes,3.984
2025-01-21,230864768389,Amazon Elastic File System,3.8397545646
2025-01-21,230864768389,Amazon Elastic Load Balancing,33.5981493688
2025-01-21,230864768389,Amazon Simple Storage Service,103.2581289902
2025-01-21,230864768389,Amazon Virtual Private Cloud,13.7452210349
2025-01-21,230864768389,AmazonCloudWatch,0.0026774184
2025-01-21,430832610640,AWS Backup,0.1017510661
2025-01-21,430832610640,AWS CloudTrail,0
2025-01-21,430832610640,AWS Global Accelerator,1.9924051004
2025-01-21,430832610640,AWS Key Management Service,0.0267741936
2025-01-21,430832610640,Amazon DynamoDB,0
2025-01-21,430832610640,EC2 - Other,7.5584333297
2025-01-21,430832610640,Amazon Elastic Compute Cloud - Compute,0.0000022751
2025-01-21,430832610640,Amazon Elastic Container Service for Kubernetes,1.992
2025-01-21,430832610640,Amazon Elastic File System,0.038433384
2025-01-21,430832610640,Amazon Elastic Load Balancing,4.8526255822
2025-01-21,430832610640,Amazon Simple Storage Service,0.0001375181
2025-01-21,430832610640,Amazon Virtual Private Cloud,14.7408
2025-01-21,430832610640,AmazonCloudWatch,0.0000701467
2025-01-21,611713488645,AWS Backup,0.0720145883
2025-01-21,611713488645,AWS CloudTrail,0
2025-01-21,611713488645,AWS Glue,0
2025-01-21,611713488645,AWS Key Management Service,0.1070967744
2025-01-21,611713488645,AWS Lambda,0.0000211063
2025-01-21,611713488645,AWS Secrets Manager,0.1066505402
2025-01-21,611713488645,AWS WAF,0.1338709656
2025-01-21,611713488645,Amazon Bedrock,0.01890242
2025-01-21,611713488645,Amazon CloudFront,0
2025-01-21,611713488645,Amazon DynamoDB,0
